id,type,testSet,prompt,answerTermId,choices,imageId,targetLabel,explanation,hotspots
q_gray194_skull_lateral_plate_label_5_sphenoid_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,sphenoid_bone,sphenoid_bone|ethmoid_bone|zygomatic_bone|lacrimal_bone,gray194_skull_lateral_plate,5,番号5は蝶形骨を示しています。蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。,
q_gray194_skull_lateral_plate_label_6_frontal_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,frontal_bone,frontal_bone|zygomatic_bone|lacrimal_bone|nasal_bone,gray194_skull_lateral_plate,6,番号6は前頭骨を示しています。前頭骨は額と眼窩上部を構成する頭蓋骨です。,
q_gray194_skull_lateral_plate_label_7_parietal_bone,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,parietal_bone,parietal_bone|lacrimal_bone|nasal_bone|maxilla,gray194_skull_lateral_plate,7,番号7は頭頂骨を示しています。頭頂骨は頭蓋冠の側上部を構成する骨です。,
q_gray194_skull_lateral_plate_label_8_occipital_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,occipital_bone,occipital_bone|nasal_bone|maxilla|mandible,gray194_skull_lateral_plate,8,番号8は後頭骨を示しています。後頭骨は頭蓋後下部を構成し、大後頭孔を含む骨です。,
q_gray194_skull_lateral_plate_label_9_temporal_bone,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,temporal_bone,temporal_bone|maxilla|mandible|vomer,gray194_skull_lateral_plate,9,番号9は側頭骨を示しています。側頭骨は頭蓋側面にあり、外耳道や顎関節窩を含みます。,
q_gray220_hand_dorsal_plate_label_1_pisiform,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,pisiform,pisiform|triquetral_bone|lunate_bone|scaphoid_bone,gray220_hand_dorsal_plate,1,番号1は豆状骨を示しています。豆状骨は手根骨の尺側近位にある小さな骨です。,
q_gray220_hand_dorsal_plate_label_2_triquetral_bone,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,triquetral_bone,triquetral_bone|pisiform|lunate_bone|hamate_bone,gray220_hand_dorsal_plate,2,番号2は三角骨を示しています。三角骨は近位手根列の尺側に位置する骨です。,
q_gray220_hand_dorsal_plate_label_3_lunate_bone,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,lunate_bone,lunate_bone|scaphoid_bone|triquetral_bone|capitate_bone,gray220_hand_dorsal_plate,3,番号3は月状骨を示しています。月状骨は近位手根列の中央付近に位置する骨です。,
q_gray220_hand_dorsal_plate_label_4_scaphoid_bone,image_number_mcq,osteology_basic,図中の「4」で示す構造はどれか。,scaphoid_bone,scaphoid_bone|lunate_bone|trapezium_bone|triquetral_bone,gray220_hand_dorsal_plate,4,番号4は舟状骨を示しています。舟状骨は近位手根列の橈側に位置する骨です。,
q_gray220_hand_dorsal_plate_label_5_trapezium_bone,image_number_mcq,osteology_basic,図中の「5」で示す構造はどれか。,trapezium_bone,trapezium_bone|trapezoid_bone|scaphoid_bone|capitate_bone,gray220_hand_dorsal_plate,5,番号5は大菱形骨を示しています。大菱形骨は母指側の遠位手根骨です。,
q_gray220_hand_dorsal_plate_label_6_trapezoid_bone,image_number_mcq,osteology_basic,図中の「6」で示す構造はどれか。,trapezoid_bone,trapezoid_bone|trapezium_bone|capitate_bone|scaphoid_bone,gray220_hand_dorsal_plate,6,番号6は小菱形骨を示しています。小菱形骨は大菱形骨と有頭骨の間に位置します。,
q_gray220_hand_dorsal_plate_label_7_capitate_bone,image_number_mcq,osteology_basic,図中の「7」で示す構造はどれか。,capitate_bone,capitate_bone|hamate_bone|lunate_bone|trapezoid_bone,gray220_hand_dorsal_plate,7,番号7は有頭骨を示しています。有頭骨は遠位手根列の中央にある大きな手根骨です。,
q_gray220_hand_dorsal_plate_label_8_hamate_bone,image_number_mcq,osteology_basic,図中の「8」で示す構造はどれか。,hamate_bone,hamate_bone|capitate_bone|triquetral_bone|pisiform,gray220_hand_dorsal_plate,8,番号8は有鈎骨を示しています。有鈎骨は尺側遠位に位置し有鈎骨鈎をもつ骨です。,
q_gray220_hand_dorsal_plate_label_9_metacarpal_bone,image_number_mcq,osteology_basic,図中の「9」で示す構造はどれか。,metacarpal_bone,metacarpal_bone|proximal_phalanx|middle_phalanx|distal_phalanx,gray220_hand_dorsal_plate,9,番号9は中手骨を示しています。中手骨は手掌部を構成し手根骨と指骨をつなぐ骨です。,
q_gray220_hand_dorsal_plate_label_10_proximal_phalanx,image_number_mcq,osteology_basic,図中の「10」で示す構造はどれか。,proximal_phalanx,proximal_phalanx|middle_phalanx|distal_phalanx|metacarpal_bone,gray220_hand_dorsal_plate,10,番号10は基節骨を示しています。基節骨は指骨のうち最も近位にある骨です。,
q_gray220_hand_dorsal_plate_label_11_middle_phalanx,image_number_mcq,osteology_basic,図中の「11」で示す構造はどれか。,middle_phalanx,middle_phalanx|proximal_phalanx|distal_phalanx|metacarpal_bone,gray220_hand_dorsal_plate,11,番号11は中節骨を示しています。中節骨は第2から第5指で基節骨と末節骨の間にある骨です。,
q_gray220_hand_dorsal_plate_label_12_distal_phalanx,image_number_mcq,osteology_basic,図中の「12」で示す構造はどれか。,distal_phalanx,distal_phalanx|middle_phalanx|proximal_phalanx|metacarpal_bone,gray220_hand_dorsal_plate,12,番号12は末節骨を示しています。末節骨は指先を構成する遠位の指骨です。,
q_gray238_pelvis_plate_label_1_hip_bone,image_number_mcq,osteology_basic,図中の「1」で示す構造はどれか。,hip_bone,hip_bone|ilium|ischium|pubis,gray238_pelvis_plate,1,番号1は寛骨を示しています。寛骨は腸骨・坐骨・恥骨が癒合した骨です。,
q_gray238_pelvis_plate_label_2_sacrum,image_number_mcq,osteology_basic,図中の「2」で示す構造はどれか。,sacrum,sacrum|coccyx|hip_bone|ilium,gray238_pelvis_plate,2,番号2は仙骨を示しています。仙骨は骨盤後壁を構成する骨です。,
q_gray238_pelvis_plate_label_3_coccyx,image_number_mcq,osteology_basic,図中の「3」で示す構造はどれか。,coccyx,coccyx|sacrum|ischium|pubis,gray238_pelvis_plate,3,番号3は尾骨を示しています。尾骨は脊柱の最下部に位置する小骨です。,
